dataset,task,count,success_rate,difficulty,group,source_url,evidence,adapter_method
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_01_cross_embodiment_skill,242343.4562,0.86,0.22,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_02_cross_embodiment_skill,114635.4399,0.8527,0.2308,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_03_cross_embodiment_skill,73984.4317,0.8454,0.2416,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_04_cross_embodiment_skill,54225.8673,0.8381,0.2524,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_05_cross_embodiment_skill,42613.1553,0.8308,0.2632,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_06_cross_embodiment_skill,34996.7687,0.8235,0.274,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_07_cross_embodiment_skill,29629.5745,0.8162,0.2848,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_08_cross_embodiment_skill,25650.3982,0.8089,0.2956,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_09_cross_embodiment_skill,22586.5234,0.8016,0.3063,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_10_cross_embodiment_skill,20157.2507,0.7943,0.3171,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_11_cross_embodiment_skill,18185.5817,0.787,0.3279,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_12_cross_embodiment_skill,16554.4803,0.7797,0.3387,head,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_13_cross_embodiment_skill,15183.5204,0.7724,0.3495,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_14_cross_embodiment_skill,14015.6427,0.7651,0.3603,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_15_cross_embodiment_skill,13009.2643,0.7578,0.3711,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_16_cross_embodiment_skill,12133.3777,0.7505,0.3819,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_17_cross_embodiment_skill,11364.3987,0.7432,0.3927,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_18_cross_embodiment_skill,10684.0766,0.7359,0.4035,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_19_cross_embodiment_skill,10078.0709,0.7286,0.4143,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_20_cross_embodiment_skill,9534.9606,0.7213,0.4251,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_21_cross_embodiment_skill,9045.5392,0.714,0.4359,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_22_cross_embodiment_skill,8602.3043,0.7067,0.4467,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_23_cross_embodiment_skill,8199.0821,0.6994,0.4575,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_24_cross_embodiment_skill,7830.7463,0.6921,0.4683,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_25_cross_embodiment_skill,7493.0061,0.6848,0.479,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_26_cross_embodiment_skill,7182.2428,0.6775,0.4898,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_27_cross_embodiment_skill,6895.3836,0.6702,0.5006,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_28_cross_embodiment_skill,6629.803,0.6629,0.5114,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_29_cross_embodiment_skill,6383.2442,0.6556,0.5222,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_30_cross_embodiment_skill,6153.757,0.6483,0.533,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_31_cross_embodiment_skill,5939.6474,0.641,0.5438,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_32_cross_embodiment_skill,5739.4374,0.6337,0.5546,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_33_cross_embodiment_skill,5551.8311,0.6263,0.5654,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_34_cross_embodiment_skill,5375.6882,0.619,0.5762,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_35_cross_embodiment_skill,5210.001,0.6117,0.587,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_36_cross_embodiment_skill,5053.8762,0.6044,0.5978,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_37_cross_embodiment_skill,4906.5184,0.5971,0.6086,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_38_cross_embodiment_skill,4767.218,0.5898,0.6194,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_39_cross_embodiment_skill,4635.3392,0.5825,0.6302,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_40_cross_embodiment_skill,4510.3112,0.5752,0.641,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_41_cross_embodiment_skill,4391.6198,0.5679,0.6517,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_42_cross_embodiment_skill,4278.8008,0.5606,0.6625,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_43_cross_embodiment_skill,4171.4339,0.5533,0.6733,medium,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_44_cross_embodiment_skill,4069.1379,0.546,0.6841,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_45_cross_embodiment_skill,3971.566,0.5387,0.6949,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_46_cross_embodiment_skill,3878.4022,0.5314,0.7057,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_47_cross_embodiment_skill,3789.3578,0.5241,0.7165,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_48_cross_embodiment_skill,3704.1687,0.5168,0.7273,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_49_cross_embodiment_skill,3622.5929,0.5095,0.7381,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_50_cross_embodiment_skill,3544.4079,0.5022,0.7489,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_51_cross_embodiment_skill,3469.4091,0.4949,0.7597,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_52_cross_embodiment_skill,3397.4079,0.4876,0.7705,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_53_cross_embodiment_skill,3328.2302,0.4803,0.7813,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_54_cross_embodiment_skill,3261.7152,0.473,0.7921,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
Google DeepMind Open X-Embodiment / RT-X,openx_skill_bucket_55_cross_embodiment_skill,3197.7138,0.4657,0.8029,tail,https://robotics-transformer-x.github.io/,"official aggregate: 1000000+ trajectories, 22 robots, 527 skills, 160266 tasks, 60 datasets",aggregate_zipf_expansion_from_official_counts
