strategy,mean_sr,std_sr,ci_95,boot_ci_lower,boot_ci_upper,p_value_vs_uniform,seed_count,mode,budget,timestamp,commit_hash,config_hash
uniform,0.9862608439353142,0.0015678643654777477,0.001774205550384343,0.9849087629897463,0.9884587930256824,1.0,3,simulated,100k_steps,2026-07-01T18:51:42.430782,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
empirical,0.9894142055967454,0.002437657944556261,0.002758469642144303,0.9862739955131709,0.9922162095204422,0.3775133529592609,3,simulated,100k_steps,2026-07-01T18:51:42.454473,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
invfreq,0.9733607187985692,0.0002269509351499817,0.0002568191596632913,0.9731227764998819,0.9735449794317266,0.008161322529122834,3,simulated,100k_steps,2026-07-01T18:51:42.475084,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
pt-rank,0.9777015466982565,0.003136842629224457,0.0035496715953209387,0.9741773372509162,0.9817970252345075,0.11013383724146848,3,simulated,100k_steps,2026-07-01T18:51:42.495569,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
prioritized_replay,0.9651090433039385,0.0005882909371367452,0.0006657138645987254,0.9646113636357289,0.9659352613078452,0.0011344583017876598,3,simulated,100k_steps,2026-07-01T18:51:42.516144,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
curriculum,0.983157300171277,0.00108604595698716,0.0012289766942129294,0.9821984537669083,0.9846758113921844,0.011866350672812895,3,simulated,100k_steps,2026-07-01T18:51:42.536871,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
power_law,0.9936060515201657,0.0012014897636097466,0.0013596136593593876,0.9920874588998224,0.995025479497634,0.028297245531167532,3,simulated,100k_steps,2026-07-01T18:51:42.557488,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
levy,0.7526888449675715,0.0019017563263670869,0.0021520398728437783,0.7512498087324863,0.7553760766625688,7.44299490270471e-05,3,simulated,100k_steps,2026-07-01T18:51:42.578706,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
gaussian,0.994949761409828,9.949676983757124e-06,1.1259119422447119e-05,0.9949356992135513,0.9949572227230631,0.015812083727279297,3,simulated,100k_steps,2026-07-01T18:51:42.598658,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
dro_risk_weighting,0.9651692702075269,0.0012181289303213885,0.0013784426490243001,0.963751144500792,0.9667253553429225,0.005293267325951643,3,simulated,100k_steps,2026-07-01T18:51:42.619478,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
focal_loss,0.9538262810382848,0.0011547160352215894,0.0013066842029946138,0.9524588905735101,0.9552831102633469,0.00017765820943266004,3,simulated,100k_steps,2026-07-01T18:51:42.639964,976f08050e84c778b8f22d15c6a46fa383af8e58,4277910466647207219
