task_id,group,tail_score,source_share,synthetic_share,source_effect,synthetic_effect
move red pepper to tray,head,0.16649999999999998,0.24922118380062305,0.09122361960850436,0.9215703263735203,0.9183341195035661
pick ice cream,head,0.20243135866187734,0.21806853582554517,0.08264585240228668,0.9012839443633326,0.8936019738916737
place object in container,head,0.31058698320544914,0.122533748701973,0.07719282592521223,0.9332008382325282,0.9143353513714657
social navigation,medium,0.4208078934695581,0.09345794392523364,0.06905160058772522,0.8849202727067247,0.8591901528067364
open drawer,medium,0.4351761881084152,0.07892004153686397,0.08154429333135282,0.9153936332096061,0.9183241718767818
move apple near cloth,tail,0.5596549965176527,0.06749740394600208,0.08322433753787027,0.7670269551276591,0.7935087313898385
social rearrangement,tail,0.6579155095119661,0.05399792315680166,0.09822589399936839,0.7202983655909783,0.8090342662029821
move apple between can and orange,tail,0.7360401888417959,0.04361370716510903,0.10770636120210683,0.6454705604337594,0.7917323805588623
pick object with distractors,tail,0.7618218891179144,0.040498442367601244,0.12876143886292835,0.6561697826420367,0.8452250762598261
manipulate novel object,tail,0.870999999999874,0.032191069574247146,0.18042377654264485,0.5683611995180707,0.867239365427701
