task_id,source,synthetic_count,synthetic_share,tail_score,group,success_rate_reference
move red pepper to tray,qtail_pt_synthetic,9122.361960850436,0.09122361960850436,0.16649999999999998,head,0.78
pick ice cream,qtail_pt_synthetic,8264.585240228667,0.08264585240228668,0.20243135866187734,head,0.74
place object in container,qtail_pt_synthetic,7719.282592521224,0.07719282592521223,0.31058698320544914,head,0.72
social navigation,qtail_pt_synthetic,6905.1600587725225,0.06905160058772522,0.4208078934695581,medium,0.64
open drawer,qtail_pt_synthetic,8154.429333135283,0.08154429333135282,0.4351761881084152,medium,0.68
move apple near cloth,qtail_pt_synthetic,8322.433753787027,0.08322433753787027,0.5596549965176527,tail,0.52
social rearrangement,qtail_pt_synthetic,9822.589399936838,0.09822589399936839,0.6579155095119661,tail,0.49
move apple between can and orange,qtail_pt_synthetic,10770.636120210684,0.10770636120210683,0.7360401888417959,tail,0.44
pick object with distractors,qtail_pt_synthetic,12876.143886292835,0.12876143886292835,0.7618218891179144,tail,0.46
manipulate novel object,qtail_pt_synthetic,18042.377654264485,0.18042377654264485,0.870999999999874,tail,0.4
