task_id,source_count,source_share,success_rate,difficulty,rarity,tail_score,group
move red pepper to tray,24000.0,0.24922118380062305,0.78,0.35,0.0,0.16649999999999998,head
pick ice cream,21000.0,0.21806853582554517,0.74,0.38,0.038736352581949726,0.20243135866187734,head
place object in container,11800.0,0.122533748701973,0.72,0.42,0.23908218490099814,0.31058698320544914,head
social navigation,9000.0,0.09345794392523364,0.64,0.54,0.3551286521545736,0.4208078934695581,medium
open drawer,7600.0,0.07892004153686397,0.68,0.5,0.4359470846853671,0.4351761881084152,medium
move apple near cloth,6500.0,0.06749740394600208,0.52,0.66,0.5170111033725617,0.5596549965176527,tail
social rearrangement,5200.0,0.05399792315680166,0.49,0.76,0.6442566878043693,0.6579155095119661,tail
move apple between can and orange,4200.0,0.04361370716510903,0.44,0.78,0.7800893085373243,0.7360401888417959,tail
pick object with distractors,3900.0,0.040498442367601244,0.46,0.8,0.830715309150921,0.7618218891179144,tail
manipulate novel object,3100.0,0.032191069574247146,0.4,0.86,0.9999999999997199,0.870999999999874,tail
