task_id,source_count,source_share,success_rate,difficulty,rarity,tail_score,group
button-press-topdown-v3,1800.0,0.05531653349723417,0.7312,0.28,0.0,0.15176,head
door-open-v3,1800.0,0.05531653349723417,0.7312,0.28,0.0,0.15176,head
drawer-close-v3,1800.0,0.05531653349723417,0.7312,0.28,0.0,0.15176,head
pick-place-v3,1800.0,0.05531653349723417,0.7082,0.33,0.0,0.17386,head
peg-insert-side-v3,1800.0,0.05531653349723417,0.7082,0.33,0.0,0.17386,head
push-v3,1800.0,0.05531653349723417,0.6944,0.36,0.0,0.18712,head
reach-v3,1800.0,0.05531653349723417,0.7312,0.28,0.0,0.15176,head
window-open-v3,1800.0,0.05531653349723417,0.7312,0.28,0.0,0.15176,head
window-close-v3,1800.0,0.05531653349723417,0.7312,0.28,0.0,0.15176,head
basketball-v3,850.0,0.026121696373693916,0.6116,0.54,0.15844635886310848,0.3379808614883988,medium
button-press-topdown-wall-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
button-press-wall-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
coffee-button-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
coffee-pull-v3,850.0,0.026121696373693916,0.6116,0.54,0.15844635886310848,0.3379808614883988,medium
dial-turn-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
disassemble-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
faucet-open-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
faucet-close-v3,850.0,0.026121696373693916,0.6484,0.46,0.15844635886310848,0.30262086148839884,medium
pick-place-wall-v3,850.0,0.026121696373693916,0.6254,0.51,0.15844635886310848,0.32472086148839885,medium
pick-out-of-hole-v3,850.0,0.026121696373693916,0.6254,0.51,0.15844635886310848,0.32472086148839885,medium
stick-pull-v3,850.0,0.026121696373693916,0.6116,0.54,0.15844635886310848,0.3379808614883988,medium
assembly-v3,260.0,0.007990165949600492,0.5426,0.69,0.5677631442631361,0.5884734149184112,tail
button-press-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
coffee-push-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
hammer-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
handle-press-side-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
handle-press-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
handle-pull-side-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
handle-pull-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
plate-slide-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
plate-slide-side-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
plate-slide-back-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
plate-slide-back-side-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
peg-unplug-side-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
soccer-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
stick-push-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
push-wall-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
push-back-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
reach-wall-v3,260.0,0.007990165949600492,0.5656,0.64,0.5677631442631361,0.5663734149184112,tail
sweep-v3,260.0,0.007990165949600492,0.5288,0.72,0.5677631442631361,0.6017334149184113,tail
bin-picking-v3,120.0,0.0036877688998156115,0.4414,0.91,0.9999999999999182,0.8802199999999633,tail
box-close-v3,120.0,0.0036877688998156115,0.4414,0.91,0.9999999999999182,0.8802199999999633,tail
door-close-v3,120.0,0.0036877688998156115,0.4644,0.86,0.9999999999999182,0.8581199999999632,tail
door-lock-v3,120.0,0.0036877688998156115,0.5472,0.68,0.9999999999999182,0.7785599999999632,tail
door-unlock-v3,120.0,0.0036877688998156115,0.4644,0.86,0.9999999999999182,0.8581199999999632,tail
hand-insert-v3,120.0,0.0036877688998156115,0.4414,0.91,0.9999999999999182,0.8802199999999633,tail
drawer-open-v3,120.0,0.0036877688998156115,0.63,0.5,0.9999999999999182,0.6989999999999631,tail
lever-pull-v3,120.0,0.0036877688998156115,0.5104,0.76,0.9999999999999182,0.8139199999999631,tail
shelf-place-v3,120.0,0.0036877688998156115,0.4414,0.91,0.9999999999999182,0.8802199999999633,tail
sweep-into-v3,120.0,0.0036877688998156115,0.5104,0.76,0.9999999999999182,0.8139199999999631,tail
