task_id,source,synthetic_count,synthetic_share,tail_score,group,success_rate_reference
button-press-topdown-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.15176,head,0.7312
door-open-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.15176,head,0.7312
drawer-close-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.15176,head,0.7312
pick-place-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.17386,head,0.7082
peg-insert-side-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.17386,head,0.7082
push-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.18712,head,0.6944
reach-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.15176,head,0.7312
window-open-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.15176,head,0.7312
window-close-v3,qtail_pt_synthetic,1977.2617781287422,0.019772617781287423,0.15176,head,0.7312
basketball-v3,qtail_pt_synthetic,1589.654921143842,0.01589654921143842,0.3379808614883988,medium,0.6116
button-press-topdown-wall-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.30262086148839884,medium,0.6484
button-press-wall-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.30262086148839884,medium,0.6484
coffee-button-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.30262086148839884,medium,0.6484
coffee-pull-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.3379808614883988,medium,0.6116
dial-turn-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.30262086148839884,medium,0.6484
disassemble-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.30262086148839884,medium,0.6484
faucet-open-v3,qtail_pt_synthetic,1169.954534545904,0.011699545345459039,0.30262086148839884,medium,0.6484
faucet-close-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.30262086148839884,medium,0.6484
pick-place-wall-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.32472086148839885,medium,0.6254
pick-out-of-hole-v3,qtail_pt_synthetic,1588.2051788758008,0.015882051788758008,0.32472086148839885,medium,0.6254
stick-pull-v3,qtail_pt_synthetic,1589.654921143842,0.01589654921143842,0.3379808614883988,medium,0.6116
assembly-v3,qtail_pt_synthetic,1940.2194919496387,0.019402194919496386,0.5884734149184112,tail,0.5426
button-press-v3,qtail_pt_synthetic,1669.1176878259269,0.01669117687825927,0.5663734149184112,tail,0.5656
coffee-push-v3,qtail_pt_synthetic,2369.3432032898445,0.023693432032898445,0.6017334149184113,tail,0.5288
hammer-v3,qtail_pt_synthetic,1940.2194919496387,0.019402194919496386,0.6017334149184113,tail,0.5288
handle-press-side-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
handle-press-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
handle-pull-side-v3,qtail_pt_synthetic,1940.2194919496387,0.019402194919496386,0.5663734149184112,tail,0.5656
handle-pull-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
plate-slide-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
plate-slide-side-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
plate-slide-back-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
plate-slide-back-side-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
peg-unplug-side-v3,qtail_pt_synthetic,1444.4076362795354,0.014444076362795353,0.5663734149184112,tail,0.5656
soccer-v3,qtail_pt_synthetic,2052.574517722835,0.020525745177228348,0.6017334149184113,tail,0.5288
stick-push-v3,qtail_pt_synthetic,2369.3432032898445,0.023693432032898445,0.6017334149184113,tail,0.5288
push-wall-v3,qtail_pt_synthetic,1940.2194919496387,0.019402194919496386,0.6017334149184113,tail,0.5288
push-back-v3,qtail_pt_synthetic,1940.2194919496387,0.019402194919496386,0.6017334149184113,tail,0.5288
reach-wall-v3,qtail_pt_synthetic,1511.095780609432,0.015110957806094321,0.5663734149184112,tail,0.5656
sweep-v3,qtail_pt_synthetic,1940.2194919496387,0.019402194919496386,0.6017334149184113,tail,0.5288
bin-picking-v3,qtail_pt_synthetic,3344.8812405350423,0.03344881240535042,0.8802199999999633,tail,0.4414
box-close-v3,qtail_pt_synthetic,3718.9147456896826,0.037189147456896825,0.8802199999999633,tail,0.4414
door-close-v3,qtail_pt_synthetic,2677.999797236074,0.02677999797236074,0.8581199999999632,tail,0.4644
door-lock-v3,qtail_pt_synthetic,2248.876085895868,0.02248876085895868,0.7785599999999632,tail,0.5472
door-unlock-v3,qtail_pt_synthetic,2823.6988951742183,0.028236988951742183,0.8581199999999632,tail,0.4644
hand-insert-v3,qtail_pt_synthetic,4667.046188988651,0.04667046188988651,0.8802199999999633,tail,0.4414
drawer-open-v3,qtail_pt_synthetic,2248.876085895868,0.02248876085895868,0.6989999999999631,tail,0.63
lever-pull-v3,qtail_pt_synthetic,2411.2472199164863,0.024112472199164865,0.8139199999999631,tail,0.5104
shelf-place-v3,qtail_pt_synthetic,3107.12350857628,0.0310712350857628,0.8802199999999633,tail,0.4414
sweep-into-v3,qtail_pt_synthetic,2677.999797236074,0.02677999797236074,0.8139199999999631,tail,0.5104
