task_id,source_count,source_share,success_rate,difficulty,rarity,tail_score,group
openx_skill_bucket_01_cross_embodiment_skill,242343.4562,0.22522584168980142,0.86,0.22,0.0,0.10500000000000001,head
openx_skill_bucket_02_cross_embodiment_skill,114635.4399,0.10653831485200278,0.8527,0.2308,0.0009240537810908927,0.1106558242014909,head
openx_skill_bucket_03_cross_embodiment_skill,73984.4317,0.068758637690726,0.8454,0.2416,0.0016484612517653598,0.1162218075632944,head
openx_skill_bucket_04_cross_embodiment_skill,54225.8673,0.05039569376250391,0.8381,0.2524,0.0022676025809221755,0.12174042116141498,head
openx_skill_bucket_05_cross_embodiment_skill,42613.1553,0.039603230555481046,0.8308,0.2632,0.0028186469837606226,0.12722839114269227,head
openx_skill_bucket_06_cross_embodiment_skill,34996.7687,0.032524817506835564,0.8235,0.274,0.0033208711345517694,0.13269439201054828,head
openx_skill_bucket_07_cross_embodiment_skill,29629.5745,0.027536728081346794,0.8162,0.2848,0.0037858246925949997,0.13814362111166772,head
openx_skill_bucket_08_cross_embodiment_skill,25650.3982,0.02383861571861814,0.8089,0.2956,0.004221085614009164,0.14357948852630412,head
openx_skill_bucket_09_cross_embodiment_skill,22586.5234,0.020991153726111607,0.8016,0.3063,0.004631948732757108,0.14896937692974072,head
droid_task_bucket_01_in_the_wild_manipulation,21838.2757,0.020295757528221787,0.86,0.22,0.004745210289618431,0.10713534463032831,head
openx_skill_bucket_10_cross_embodiment_skill,20157.2507,0.018733469540490273,0.7943,0.3171,0.005022289032934918,0.1543850300648207,head
openx_skill_bucket_11_cross_embodiment_skill,18185.5817,0.016901066813295493,0.787,0.3279,0.005395045074849021,0.15979277028368205,head
openx_skill_bucket_12_cross_embodiment_skill,16554.4803,0.015385176137075891,0.7797,0.3387,0.005752509148325963,0.16519362911674668,head
openx_skill_bucket_13_cross_embodiment_skill,15183.5204,0.014111052204694398,0.7724,0.3495,0.006096510902331955,0.1705884299060494,medium
openx_skill_bucket_14_cross_embodiment_skill,14015.6427,0.013025666025518296,0.7651,0.3603,0.006428538857752939,0.1759778424859888,medium
openx_skill_bucket_15_cross_embodiment_skill,13009.2643,0.012090371853550323,0.7578,0.3711,0.006749823512388716,0.18136242058057495,medium
openx_skill_bucket_16_cross_embodiment_skill,12133.3777,0.011276352363182838,0.7505,0.3819,0.007061396248699566,0.18674262831191485,medium
openx_skill_bucket_17_cross_embodiment_skill,11364.3987,0.010561689193677453,0.7432,0.3927,0.007364131857008719,0.19211885933565392,medium
openx_skill_bucket_18_cross_embodiment_skill,10684.0766,0.009929420759467207,0.7359,0.4035,0.007658779933888466,0.1974914509702498,medium
openx_skill_bucket_19_cross_embodiment_skill,10078.0709,0.009366219483099023,0.7286,0.4143,0.007945988886024215,0.2028606949987109,medium
droid_task_bucket_02_in_the_wild_manipulation,9772.9021,0.009082605883973225,0.8502,0.2345,0.00810063176247324,0.11568028429311297,head
openx_skill_bucket_20_cross_embodiment_skill,9534.9606,0.008861471072038355,0.7213,0.4251,0.008226323997950537,0.2082268457990777,medium
openx_skill_bucket_21_cross_embodiment_skill,9045.5392,0.008406619315426323,0.714,0.4359,0.008500281747356326,0.21359012678631034,medium
openx_skill_bucket_22_cross_embodiment_skill,8602.3043,0.007994691735519194,0.7067,0.4467,0.008768301057427721,0.21895073547584248,medium
openx_skill_bucket_23_cross_embodiment_skill,8199.0821,0.007619950610642007,0.6994,0.4575,0.009030772143075209,0.22430884746438384,medium
openx_skill_bucket_24_cross_embodiment_skill,7830.7463,0.007277631730321085,0.6921,0.4683,0.009288044014775364,0.2296646198066489,medium
