strategy,tail_success_mean,tail_success_std,head_success_mean,overall_success_mean,cvar20_mean,extreme_failure_mean,tail_extreme_failure_mean,rare_space_coverage_rate,median_tail_coverage_time
pareto_heavy_tail,0.5408699750422187,0.009789635288697354,0.29086008577082634,0.4486357375975285,0.1571279891102124,2.09375,0.0,1.0,66875.0
beta_heavy_tail,0.49250793187909087,0.009339504548790916,0.28920435249016013,0.46431848455111024,0.10843664592192329,2.421875,0.421875,0.0,
q_tail,0.4427478667483464,0.009105701075718647,0.7608264625382022,0.6191918350872125,0.42514589222258126,0.0,0.0,0.625,95250.0
prioritized_experience_replay,0.42667579878976536,0.0080401499478088,0.7835310460400521,0.6274413894515161,0.4005496748103871,0.03125,0.03125,0.0,
simulator_edge_case_mining,0.3916583351250051,0.008055756679991229,0.7196136031098163,0.5740275303682272,0.37187545886101114,0.515625,0.515625,0.0,
adversarial_scenario_generation,0.3819667477883921,0.007468362632872625,0.597231041905186,0.5087027961984597,0.3646149809388518,0.640625,0.640625,0.0,
curriculum_learning,0.34147810227703457,0.007832820928728943,0.8725658348819095,0.6195658105697279,0.3197028425602652,1.703125,1.703125,0.0,
uniform,0.3198581932885089,0.007522587029449406,0.8964762751956799,0.6372047350822769,0.28819184756342653,2.0,2.0,0.0,
domain_randomization,0.3082167728488846,0.007318535619344446,0.8362348448425787,0.5938184872074701,0.2818437384515585,2.265625,2.265625,0.0,
lognormal_heavy_tail,0.26893208851199235,0.006765942205294933,0.7298663231932192,0.5839663293891904,0.19886118406660636,3.046875,2.046875,0.0,
diffusion_llm_task_generation,0.2592336233321155,0.006587581345785961,0.5390106844342516,0.48349032129875297,0.20830361995821273,3.265625,2.265625,0.0,
